content,score,Year,Month,Day
"PT. KAI yg terhormat, tolong aplikasi ini ditinjau ulang karena saya mau pindah kursi tidak bisa. Padahal dulu waktu awal"" nya muncul apk ini, untuk pindah kursi msh bisa.. setelah sering diupdate kok malah tidak bs pilih kursi sendiri.. mohon dicarikan solusinya",3,2018,9,16
Akhir2 ini saya booking lewat aplikasi ini kereta ambarawa express. Server pilihin seat di gerbong 1. Tapi kagak bisa diganti. Ada opsi ganti tapi yg muncul hanya gerbong 3 sampai 6. Otomastis tdk bisa pilih tempat duduk. Maunya apa sih ? Jgn dipersulit kalau bisa dipermudah sebelumnya. SEGERA BERBENAH !!! SERING ERROR JUGA !!,2,2018,9,16
"Aplikasinya lumayan membantu, cuma saja kenapa kalau beli tiket tawang jaya premium dari stasiun cirebon(cn) ke stasiun pasar senen (pse) keberangkatan pukul 00:08 dari stasiun cirebon, saya tidak bisa memilih tempat duduk ya? Mohon bantuan dari admin. Salam.",5,2018,9,17
"Dari dulu sampai sekarang masih belum bisa ngeperbaikin error ngga bisa ganti kursi karena opsi (denah) kursinya ngga muncul2 (mau udah gonta ganti koneksi-device tetap gabisa), jadi terpaksa pake aplikasi selain ini supaya bisa milih tempat kursi yang dekat jendelanya.",1,2018,9,23
"Lebih bagus yang sebelumnya. Karena setelah update ini tidak menyebutkan jumlah ada berapa sisa kursinya. Hanya tertulis tersedia saja. Tolong ditampilkan lagi jumlah sisa kursi yang tersedia. Tolong kembalikan lagi, munculkan lagi jumlah sisa kursi yang tersedia. Agar pelanggan tidak curiga dengan kai acces ada permainan dengan agen2 tiket. Kalau hanya keterangan tersedia, mana bisa pelanggan melihat jumlah sisa kursi yang tersedia.😎😎😎",4,2018,9,24
"mau pesan tiket tapi muncul mohon periksa koneksi anda.sementara interner saya bisa meng update aplikasi ini.jadi yg salah,koneksi internet saya atau aplikasi nya???bingung saya",1,2018,9,24
"Setelah update, fitur jumlah ketersediaan kursi secara angka real malah hilang, hanya digantikan kata ""tersedia"". Semakin tidak membantu. Ada bug juga, setelah masuk menu Rincian Pemesanan, tidak bisa di back untuk kembali ke menu sebelumnya, harus force close. Update yang sangat tidak berguna.",1,2018,9,25
Terimakasih KAI Access telah menanggapi ulasan sya mengenai update app trbaru yg menyebabkan jumlah kursi yg trsedia tdk trlihat. Hal itu trnyata dpt dlihat apabila jumlah kursi kurang dr 50. Tapi sya tetap lbh menyukai app sblm di update.,3,2018,9,25
"Tidak menampilkan jumlah kursi yang tersedia,itu sangat menyusahkan sekali.saya selalu menggunakan KAI seminggu sekali untuk ke jakarta.sementara menggunakan bus sampai KAI update menampilkan jumlah kursi yang tersedia.",1,2018,9,27
"Admin yang terhormat, bisa di share apa alasan mengupdate aplikasi ini sehingga jumlah kursi yang tersedia hanya bisa dilihat jika kursi yang tersedia tersisa <50. Rasanya, aplikasi ini untuk membantu pengguna jasa kereta api. Dan fungsi update adalah untuk mempermudah pengguna. Namun, yang saya rasakan malah sebaliknya :(, Semoga update kedepannya lebih baik ya Terimakasih (saya sampaikan dari sini saja ya, tak perlu via email-emailan hehe)",1,2018,9,28
"Di upgrade kok malahan kursi yg tersedianya jadi gak muncul yahk.... Cuman ditulis aja tersedia, kalau kyk gitu apa fungsi dr aplikasi ini donk, kan kita maunya biar tahu jumlah kursi yg tersedia di masing2 kereta baik yg eksekutif sampai yg ekonomi dan bisa lgsg booking lewat apl ini. Skrg kalau jumlah kursinya kita aja gak tahu kita kn gak bisa memperkirakan keberangkatan kita kapan2nya???? Kecewa berat sama apl ini....",1,2018,9,29
Tolong dong di kembalikan seperti semula.. sebelum di update.. lebih nyaman lancar..dan jumlah kursi yang tersedia terlihat.. bila telah di perbaiki akan kami tambah bintangnya..,3,2018,10,1
"Why,? Blank hitam + conection try again,,,, padahal jaringan full bwt aplikasi lain jalan udah pake wifi sama aja,,, udah uninstal masih failed, apakah dlm proses maintenaince? Tolong segera perbaiki sistemnya, sebelum semua barganti alih ke apk yg lain,,,, trims",1,2018,10,2
"Sekarang makin gak bagus aplikasinya, aku cek jadwal malah yg muncul tulisan tidak ada jadwal untuk rute ini,padaal cek yk-pwt loh, udah cek sampai bbrp hari kedepan tetep sama😑 yg notabene tiap hari byk jadwal berbagai macam kereta untuk rute ini, mohon diperbaiki atau kembalikan ke versi semula😒😔 Setelah reinstal lha kok malah blas gak bisa, katanya periksa koneksi😑 malah makin unfaedah di hp. Maaf y cm bintang 1",2,2018,10,3
Setelah di update kurang bagus. Untuk mengecek jadwal kereta dan ketersediaan kursi harmnya tertulis tersedia. Itu tidak bisa jadi acuan untuk yang mau beli atau pesan. Di update seharusnya lebih baik bukan lebih buruk,3,2018,10,3
